City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
luoyang,34.6836,112.4536,282.04,99.0,87.0,4.03,CN,1612484218.0
ilhabela,-23.7781,-45.3581,299.75,77.0,29.0,1.61,BR,1612484108.0
aden,12.7794,45.0367,296.54,70.0,0.0,7.35,YE,1612483955.0
praya,14.9215,-23.5087,294.15,73.0,75.0,7.2,CV,1612484219.0
port alfred,-33.5906,26.891,292.04,88.0,16.0,4.02,ZA,1612484198.0
ushuaia,-54.8,-68.3,283.15,76.0,20.0,15.43,AR,1612484184.0
new norfolk,-42.7826,147.0587,297.59,56.0,78.0,1.34,AU,1612484220.0
rocha,-34.4833,-54.3333,292.22,76.0,100.0,7.69,UY,1612484220.0
lorengau,-2.0226,147.2712,300.28,80.0,99.0,2.77,PG,1612484221.0
harper,4.375,-7.7169,299.13,90.0,17.0,3.58,LR,1612484221.0
bolungarvik,,,,,,,,
antofagasta,-23.65,-70.4,292.15,77.0,20.0,4.63,CL,1612484218.0
torbay,47.6666,-52.7314,278.71,100.0,1.0,3.09,CA,1612484190.0
bluff,-46.6,168.3333,287.44,65.0,58.0,3.34,NZ,1612484201.0
gat,31.61,34.7642,286.48,100.0,100.0,3.93,IL,1612484223.0
birchis,45.9667,22.1667,274.15,100.0,0.0,3.09,RO,1612484224.0
novoagansk,61.9449,76.6625,247.21,90.0,81.0,2.06,RU,1612484373.0
arica,-18.475,-70.3042,294.15,73.0,0.0,2.57,CL,1612483928.0
punta arenas,-53.15,-70.9167,284.15,54.0,0.0,11.83,CL,1612484011.0
khatanga,71.9667,102.5,238.29,78.0,0.0,3.97,RU,1612484225.0
coquimbo,-29.9533,-71.3436,289.15,82.0,75.0,4.12,CL,1612484225.0
abu zabad,12.35,29.25,292.06,26.0,14.0,8.55,SD,1612484226.0
busselton,-33.65,115.3333,289.82,66.0,0.0,0.89,AU,1612484174.0
innisfail,-17.5333,146.0333,301.97,67.0,74.0,1.96,AU,1612484087.0
albany,42.6001,-73.9662,274.15,59.0,20.0,2.12,US,1612484171.0
geraldton,-28.7667,114.6,296.15,33.0,40.0,10.8,AU,1612484195.0
karratha,-20.7377,116.8463,301.23,76.0,33.0,5.59,AU,1612484227.0
carnarvon,-24.8667,113.6333,299.39,79.0,100.0,10.5,AU,1612484227.0
champerico,14.3,-91.9167,300.15,74.0,40.0,2.06,GT,1612484228.0
rikitea,-23.1203,-134.9692,299.14,68.0,97.0,5.04,PF,1612484169.0
zhongshu,24.5167,103.7667,282.82,91.0,58.0,2.3,CN,1612484229.0
zemio,5.0314,25.1361,294.42,67.0,57.0,0.85,CF,1612484229.0
vostok,46.4856,135.8833,247.06,87.0,33.0,2.74,RU,1612484376.0
hay river,60.8156,-115.7999,243.15,69.0,99.0,5.66,CA,1612484230.0
kapaa,22.0752,-159.319,295.15,60.0,20.0,6.69,US,1612484230.0
darhan,49.4867,105.9228,260.31,92.0,100.0,0.51,MN,1612484231.0
huilong,31.8111,121.655,282.04,81.0,100.0,1.34,CN,1612484231.0
road town,18.4167,-64.6167,299.15,83.0,40.0,2.57,VG,1612484000.0
byron bay,-28.65,153.6167,301.15,65.0,40.0,4.12,AU,1612484273.0
cape town,-33.9258,18.4232,293.15,82.0,0.0,4.63,ZA,1612484158.0
pangoa,-12.1167,-73.0,294.67,96.0,92.0,0.57,PE,1612484232.0
severo-kurilsk,50.6789,156.125,261.97,88.0,77.0,4.85,RU,1612484202.0
naugarzan,,,,,,,,
qasigiannguit,68.8193,-51.1922,256.15,39.0,3.0,6.17,GL,1612484379.0
souillac,-20.5167,57.5167,298.15,78.0,20.0,3.09,MU,1612484233.0
jumla,29.2747,82.1838,273.49,84.0,87.0,3.45,NP,1612484233.0
dikson,73.5069,80.5464,252.88,91.0,100.0,6.78,RU,1612484211.0
mitchell,43.7094,-98.0298,267.15,58.0,1.0,5.14,US,1612484379.0
vaitupu,,,,,,,,
neuquen,-38.9516,-68.0591,303.15,39.0,0.0,1.03,AR,1612484380.0
illoqqortoormiut,,,,,,,,
